id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;26/03/2000 00:00:00;2.321,24583333
NE;Nordeste;26/03/2000 00:00:00;5.394,28750000
S;Sul;26/03/2000 00:00:00;5.376,03750000
SE;Sudeste/Centro-Oeste;26/03/2000 00:00:00;22.276,76666667
N;Norte;27/03/2000 00:00:00;2.464,95000000
NE;Nordeste;27/03/2000 00:00:00;6.087,30833333
S;Sul;27/03/2000 00:00:00;7.080,49166667
SE;Sudeste/Centro-Oeste;27/03/2000 00:00:00;26.927,08750000
N;Norte;28/03/2000 00:00:00;2.444,37083333
NE;Nordeste;28/03/2000 00:00:00;6.145,86666667
S;Sul;28/03/2000 00:00:00;7.043,05833333
SE;Sudeste/Centro-Oeste;28/03/2000 00:00:00;27.614,00000000
N;Norte;29/03/2000 00:00:00;2.436,80000000
NE;Nordeste;29/03/2000 00:00:00;6.125,64583333
S;Sul;29/03/2000 00:00:00;6.950,33750000
SE;Sudeste/Centro-Oeste;29/03/2000 00:00:00;27.257,64583333
N;Norte;30/03/2000 00:00:00;2.445,17500000
NE;Nordeste;30/03/2000 00:00:00;6.039,85833333
S;Sul;30/03/2000 00:00:00;7.101,57916667
SE;Sudeste/Centro-Oeste;30/03/2000 00:00:00;26.955,45833333
N;Norte;31/03/2000 00:00:00;2.433,06666667
NE;Nordeste;31/03/2000 00:00:00;5.983,79166667
S;Sul;31/03/2000 00:00:00;7.143,63333333
SE;Sudeste/Centro-Oeste;31/03/2000 00:00:00;27.245,69583333
N;Norte;01/04/2000 00:00:00;2.369,14166667
NE;Nordeste;01/04/2000 00:00:00;5.642,79166667
S;Sul;01/04/2000 00:00:00;6.325,97083333
SE;Sudeste/Centro-Oeste;01/04/2000 00:00:00;24.765,47083333
N;Norte;02/04/2000 00:00:00;2.305,73750000
NE;Nordeste;02/04/2000 00:00:00;5.162,80000000
S;Sul;02/04/2000 00:00:00;5.212,10000000
SE;Sudeste/Centro-Oeste;02/04/2000 00:00:00;21.926,75416667
N;Norte;03/04/2000 00:00:00;2.434,67083333
NE;Nordeste;03/04/2000 00:00:00;5.837,18333333
S;Sul;03/04/2000 00:00:00;6.825,77500000
SE;Sudeste/Centro-Oeste;03/04/2000 00:00:00;25.865,91250000
N;Norte;04/04/2000 00:00:00;2.443,97916667
NE;Nordeste;04/04/2000 00:00:00;5.995,74583333
S;Sul;04/04/2000 00:00:00;7.058,24583333
SE;Sudeste/Centro-Oeste;04/04/2000 00:00:00;26.119,27916667
N;Norte;05/04/2000 00:00:00;2.465,03750000
NE;Nordeste;05/04/2000 00:00:00;6.050,70833333
S;Sul;05/04/2000 00:00:00;7.241,30416667
SE;Sudeste/Centro-Oeste;05/04/2000 00:00:00;26.393,22083333
N;Norte;06/04/2000 00:00:00;2.456,61666667
NE;Nordeste;06/04/2000 00:00:00;6.106,50416667
S;Sul;06/04/2000 00:00:00;7.353,90000000
SE;Sudeste/Centro-Oeste;06/04/2000 00:00:00;26.602,06250000
N;Norte;07/04/2000 00:00:00;2.443,78333333
NE;Nordeste;07/04/2000 00:00:00;6.065,72083333
S;Sul;07/04/2000 00:00:00;7.464,47916667
SE;Sudeste/Centro-Oeste;07/04/2000 00:00:00;26.956,08333333
N;Norte;08/04/2000 00:00:00;2.396,60833333
NE;Nordeste;08/04/2000 00:00:00;5.685,74583333
S;Sul;08/04/2000 00:00:00;6.758,08333333
SE;Sudeste/Centro-Oeste;08/04/2000 00:00:00;24.775,40000000
N;Norte;09/04/2000 00:00:00;2.294,73333333
NE;Nordeste;09/04/2000 00:00:00;5.181,06250000
S;Sul;09/04/2000 00:00:00;5.727,97083333
SE;Sudeste/Centro-Oeste;09/04/2000 00:00:00;22.322,10833333
N;Norte;10/04/2000 00:00:00;2.451,93750000
NE;Nordeste;10/04/2000 00:00:00;5.888,84166667
S;Sul;10/04/2000 00:00:00;7.432,96666667
SE;Sudeste/Centro-Oeste;10/04/2000 00:00:00;26.820,40416667
N;Norte;11/04/2000 00:00:00;2.460,89166667
NE;Nordeste;11/04/2000 00:00:00;6.042,88750000
S;Sul;11/04/2000 00:00:00;7.535,63750000
SE;Sudeste/Centro-Oeste;11/04/2000 00:00:00;27.512,63333333
N;Norte;12/04/2000 00:00:00;2.459,05416667
NE;Nordeste;12/04/2000 00:00:00;6.074,29583333
S;Sul;12/04/2000 00:00:00;7.345,09166667
SE;Sudeste/Centro-Oeste;12/04/2000 00:00:00;27.606,16666667
N;Norte;13/04/2000 00:00:00;2.471,62083333
NE;Nordeste;13/04/2000 00:00:00;6.032,67500000
S;Sul;13/04/2000 00:00:00;7.236,44166667
SE;Sudeste/Centro-Oeste;13/04/2000 00:00:00;27.753,04583333
N;Norte;14/04/2000 00:00:00;2.484,54583333
NE;Nordeste;14/04/2000 00:00:00;6.042,99166667
S;Sul;14/04/2000 00:00:00;7.265,38750000
SE;Sudeste/Centro-Oeste;14/04/2000 00:00:00;27.872,56666667
N;Norte;15/04/2000 00:00:00;2.389,49166667
NE;Nordeste;15/04/2000 00:00:00;5.719,19583333
S;Sul;15/04/2000 00:00:00;6.530,72500000
SE;Sudeste/Centro-Oeste;15/04/2000 00:00:00;25.296,22916667
N;Norte;16/04/2000 00:00:00;2.332,10416667
NE;Nordeste;16/04/2000 00:00:00;5.273,78750000
S;Sul;16/04/2000 00:00:00;5.518,36250000
SE;Sudeste/Centro-Oeste;16/04/2000 00:00:00;22.205,83750000
N;Norte;17/04/2000 00:00:00;2.472,69166667
NE;Nordeste;17/04/2000 00:00:00;5.913,91250000
S;Sul;17/04/2000 00:00:00;7.116,06916667
SE;Sudeste/Centro-Oeste;17/04/2000 00:00:00;26.388,59750000
N;Norte;18/04/2000 00:00:00;2.436,86250000
NE;Nordeste;18/04/2000 00:00:00;6.054,02500000
S;Sul;18/04/2000 00:00:00;7.169,69583333
