ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
653;NORDESTE;ago/13;8.988,84
654;NORTE;ago/13;5.179,06
655;SUDESTE/CO;ago/13;33.964,25
656;SUL;ago/13;10.035,22
657;NORDESTE;set/13;9.218,27
658;NORTE;set/13;5.188,62
659;SUDESTE/CO;set/13;34.766,62
660;SUL;set/13;9.869,16
661;NORDESTE;out/13;9.520,43
662;NORTE;out/13;5.141,04
663;SUDESTE/CO;out/13;35.398,40
664;SUL;out/13;10.160,34
665;NORDESTE;nov/13;9.498,03
666;NORTE;nov/13;5.038,77
667;SUDESTE/CO;nov/13;35.381,62
668;SUL;nov/13;10.514,15
669;NORDESTE;dez/13;9.550,30
670;NORTE;dez/13;5.174,76
671;SUDESTE/CO;dez/13;35.336,64
672;SUL;dez/13;10.866,35
673;NORDESTE;jan/14;9.707,14
674;NORTE;jan/14;5.182,91
675;SUDESTE/CO;jan/14;38.704,86
676;SUL;jan/14;11.774,17
677;NORDESTE;fev/14;9.777,36
678;NORTE;fev/14;5.197,88
679;SUDESTE/CO;fev/14;39.819,66
680;SUL;fev/14;12.400,69
681;NORDESTE;mar/14;9.712,33
682;NORTE;mar/14;5.190,22
683;SUDESTE/CO;mar/14;37.542,74
684;SUL;mar/14;10.870,85
685;NORDESTE;abr/14;9.773,35
686;NORTE;abr/14;5.224,98
687;SUDESTE/CO;abr/14;35.486,97
688;SUL;abr/14;10.398,65
689;NORDESTE;mai/14;9.526,03
690;NORTE;mai/14;5.127,94
691;SUDESTE/CO;mai/14;35.309,27
692;SUL;mai/14;10.019,66
693;NORDESTE;jun/14;9.141,54
694;NORTE;jun/14;4.984,80
695;SUDESTE/CO;jun/14;34.120,95
696;SUL;jun/14;9.923,49
697;NORDESTE;jul/14;9.207,40
698;NORTE;jul/14;4.995,03
699;SUDESTE/CO;jul/14;34.146,18
700;SUL;jul/14;10.128,58
701;NORDESTE;ago/14;9.235,90
702;NORTE;ago/14;5.116,61
703;SUDESTE/CO;ago/14;34.537,10
704;SUL;ago/14;9.943,66
705;NORDESTE;set/14;9.590,70
706;NORTE;set/14;5.294,31
707;SUDESTE/CO;set/14;36.110,88
708;SUL;set/14;9.959,57
709;NORDESTE;out/14;9.714,67
710;NORTE;out/14;5.120,88
711;SUDESTE/CO;out/14;37.053,12
712;SUL;out/14;10.477,52
713;NORDESTE;nov/14;9.826,50
714;NORTE;nov/14;5.151,17
